step,speedX,speedY,speedZ,angle,trackPos,damage,rpm,gear,accel,brake,steer,targetSpeed,section,front,best_i,best_distance,anglePlan,severity,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
99956,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,9073.21,1,0.45,0.0,-0.27361217259637394,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99955,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,9183.03,1,0.45,0.0,-0.2736554423132783,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99954,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,9293.92,1,0.45,0.0,-0.2736926542698161,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99953,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,9405.86,1,0.45,0.0,-0.27372465655243855,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99952,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,9518.43,1,0.45,0.0,-0.2737521785154939,175,SHALLOW,62.0267,9,62.0267,0,0.26165666203703697,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99951,-0.0178903,0.0146964,0.00246686,0.00871437,0.33345,0.0,9742.55,1,0.45,0.0,-0.2735581553513159,175,SHALLOW,61.8895,9,61.8895,0,0.2621838657407407,5.7058,12.6459,22.5468,139.77,90.628,77.1416,71.4876,67.1893,64.4281,61.8895,59.5476,57.3809,54.6058,51.7549,47.1634,40.006,31.0009,22.7403,11.2174
99950,0.0465533,-0.00514448,0.00292463,0.00861138,0.333451,0.0,5249.36,1,0.45,0.0,-0.27343731725937215,175,SHALLOW,61.9177,9,61.9177,0,0.2620755046296296,5.7052,12.6418,22.5276,139.918,90.69,77.1862,71.5259,67.2227,64.4589,61.9177,59.5737,57.405,54.6277,51.7745,47.1794,40.0183,31.0097,22.7456,11.2185
99949,0.112992,-0.00343236,0.0029346,0.00859803,0.333447,0.0,5264.23,1,0.45,0.0,-0.2733388417120733,175,SHALLOW,61.9209,9,61.9209,0,0.2620632083333333,5.70516,12.6414,22.5257,139.937,90.6973,77.1915,71.5302,67.2266,64.4623,61.9209,59.5766,57.4077,54.6302,51.7767,47.1811,40.0195,31.0105,22.7462,11.2186
99948,0.213639,-0.0140844,0.00222603,0.00850266,0.333439,0.0,5235.99,1,0.45,0.0,-0.2732956448407798,175,SHALLOW,61.947,9,61.947,0,0.26196291666666666,5.70466,12.6378,22.5084,140.073,90.7542,77.2321,71.5652,67.2573,64.4906,61.947,59.6005,57.4299,54.65,51.7945,47.1958,40.0306,31.0184,22.7509,11.2196
99947,0.532424,-0.02019,0.00480468,0.00855988,0.333415,0.0,5235.99,1,0.45,0.0,-0.273229972363105,175,SHALLOW,61.9285,9,61.9285,0,0.2620340046296296,5.70521,12.6407,22.5219,139.984,90.716,77.204,71.5408,67.2358,64.4706,61.9285,59.5835,57.4139,54.6355,51.7813,47.1848,40.0221,31.0123,22.7473,11.2188
