step,speedX,speedY,speedZ,angle,trackPos,damage,rpm,gear,accel,brake,steer,targetSpeed,section,phase,front,front_delta,best_i,best_distance,anglePlan,severity,desired_track_pos,emergency_front_brake,stability_mode,stuck_counter,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
99980,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6748.14,1,0.45,0.0,-0.1434159947672975,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,21,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99979,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6833.45,1,0.45,0.0,-0.14382219623123002,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,22,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99978,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,6919.74,1,0.45,0.0,-0.14415528143165468,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,23,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99977,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7007.01,1,0.45,0.0,-0.14442841129600292,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,24,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99976,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7095.25,1,0.45,0.0,-0.14465237778476847,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,25,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99975,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7184.49,1,0.45,0.0,-0.14483603030555622,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,26,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99974,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7274.71,1,0.45,0.0,-0.14498662537260218,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,27,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99973,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7365.93,1,0.45,0.0,-0.14511011332757986,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,28,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99972,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7458.15,1,0.45,0.0,-0.14521137345066157,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,29,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99971,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7551.38,1,0.45,0.0,-0.14529440675158856,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,30,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99970,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7645.62,1,0.45,0.0,-0.1453624940583487,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,31,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99969,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7740.87,1,0.45,0.0,-0.145418325649892,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,32,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
99968,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.0,7837.14,1,0.45,0.0,-0.1454641075549575,181,SHALLOW,APEX,62.0267,0.0,4,90.9268,-4,0.38260171114337566,-0.12,0.0,False,33,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
